ID	0	7	14	21	28	35	49	70
	Days	Days	Days	Days	Days	Days	Days	Days
MN-SN	0	28.08	35.91	40.51	44.19	46.74	50.73	54.83
MN-SN	0	28.10	35.51	39.71	43.17	45.72	49.62	54.63
MN-SN	0	27.86	34.87	39.03	42.53	44.98	48.47	52.38
MN-SN	0	35.28	42.64	46.89	50.25	52.51	55.43	58.85
MN-D1	0	30.52	35.79	39.87	43.15	45.71	49.50	53.85
MN-D1	0	24.84	28.28	30.06	31.36	32.68	35.19	39.07
MN-D1	0	21.76	23.89	25.03	25.97	26.74	28.19	34.22
MN-D1	0	13.97	16.68	18.14	19.55	20.84	23.00	25.99
MN-D3	0	2.35	4.21	6.47	9.08	12.24	20.47	30.29
MN-D3	0	12.74	23.00	30.38	35.69	38.97	43.37	47.48
MN-D3	0	22.68	34.36	38.45	40.93	42.48	44.46	47.24
MN-D3	0	5.73	14.79	25.43	35.10	41.42	48.69	55.50
MN-SS	0	7.17	10.06	12.40	14.91	16.48	18.85	22.72
MN-SS	0	2.04	3.35	4.35	5.44	6.51	8.39	11.70
MN-SS	0	2.86	4.41	5.86	7.21	8.35	10.79	13.57
MN-SS	0	2.48	4.23	5.87	7.45	9.21	14.84	25.59
PC-SN	0	27.79	34.75	39.14	42.49	45.28	49.27	54.99
PC-SN	0	30.10	38.47	43.07	46.71	49.26	53.36	59.04
PC-SN	0	30.86	37.81	42.03	45.45	47.91	51.69	57.20
PC-SN	0	29.71	36.92	41.05	44.56	46.91	50.54	55.84
PC-D1	0	1.06	1.52	1.92	2.55	2.97	3.44	4.60
PC-D1	0	1.54	2.16	2.71	3.42	3.88	4.63	6.10
PC-D1	0	0.94	1.39	1.84	2.43	3.02	3.60	5.29
PC-D1	0	1.45	2.07	2.60	3.30	3.82	4.66	6.43
PC-D3	0	0.86	1.20	1.59	2.04	2.42	2.71	3.43
PC-D3	0	0.92	1.24	1.67	2.13	2.45	2.73	3.64
PC-D3	0	1.00	1.34	1.64	2.01	2.31	2.66	3.10
PC-D3	0	0.84	1.22	1.60	2.06	2.37	2.72	3.30
PC-SS	0	0.96	1.36	1.75	2.19	2.54	2.84	4.46
PC-SS	0	0.96	1.30	1.61	1.97	2.55	2.84	4.09
PC-SS	0	0.82	1.15	1.45	1.81	2.07	2.28	3.75
PC-SS	0	0.83	1.18	1.60	2.08	2.33	2.63	4.24
PCN-SN	0	30.76	37.91	42.02	45.29	47.67	51.39	63.77
PCN-SN	0	31.78	38.89	43.30	46.91	50.23	55.47	73.93
PCN-SN	0	31.64	38.80	43.12	46.78	49.23	53.13	66.90
PCN-SN	0	31.52	39.03	43.58	47.61	50.24	54.35	67.40
PCN-D1	0	1.22	1.74	2.15	2.66	3.00	3.62	6.35
PCN-D1	0	1.00	1.43	1.81	2.31	2.86	3.31	5.68
PCN-D1	0	0.92	1.35	1.80	2.38	2.78	3.45	6.72
PCN-D1	0	1.23	1.87	2.45	3.21	3.87	5.03	10.51
PCN-D3	0	1.15	1.58	1.91	2.38	3.06	3.44	5.13
PCN-D3	0	1.15	1.51	1.88	2.43	2.76	3.08	4.86
PCN-D3	0	0.98	1.37	1.79	2.44	2.74	3.08	4.96
PCN-D3	0	0.98	1.35	1.78	2.38	2.66	3.06	4.81
PCN-SS	0	1.84	2.75	3.56	4.53	5.18	6.00	8.86
PCN-SS	0	0.86	1.21	1.57	2.00	2.28	2.55	4.14
PCN-SS	0	0.82	1.21	1.62	2.15	2.46	2.75	3.72
PCN-SS	0	1.20	1.66	2.05	2.59	2.93	3.63	4.59
PD-SN	0	38.65	46.50	51.27	55.29	58.04	62.26	67.82
PD-SN	0	39.90	47.85	52.69	56.54	59.19	63.73	69.70
PD-SN	0	39.38	47.52	52.27	56.29	59.36	63.86	69.52
PD-SN	0	55.51	64.34	69.52	74.17	76.82	81.52	88.91
PD-D1	0	10.32	20.97	32.36	41.40	46.97	53.25	59.43
PD-D1	0	8.81	18.11	27.47	33.83	37.92	42.94	47.48
PD-D1	0	8.63	17.33	27.44	36.55	42.89	50.82	58.74
PD-D1	0	3.16	5.62	8.84	13.21	17.42	26.22	38.25
PD-D3	0	3.80	7.58	12.28	17.99	23.75	34.90	47.82
PD-D3	0	3.03	5.31	7.86	10.77	13.33	18.69	27.04
PD-D3	0	2.10	3.94	6.15	9.03	11.93	18.57	30.78
PD-D3	0	4.65	8.98	14.59	21.23	27.20	37.69	49.35
PD-SS	0	1.78	2.66	3.52	4.40	5.00	6.17	8.66
PD-SS	0	3.86	6.26	8.88	12.60	16.50	23.58	32.91
PD-SS	0	0.93	1.28	1.67	2.08	2.38	2.86	3.47
PD-SS	0	1.17	1.55	1.98	2.51	3.00	3.89	5.36
PDN-SN	0	36.23	43.79	48.30	51.99	54.56	58.30	63.55
PDN-SN	0	35.43	43.40	47.98	51.79	54.22	58.24	63.66
PDN-SN	0	35.65	43.27	47.65	51.36	53.79	57.60	62.74
PDN-SN	0	35.70	43.25	47.89	51.77	54.41	58.28	63.75
PDN-D1	0	8.27	13.68	19.32	24.64	28.91	35.94	44.58
PDN-D1	0	12.69	19.79	25.45	30.26	34.03	39.43	45.76
PDN-D1	0	12.25	20.82	27.94	33.02	36.91	42.16	47.75
PDN-D1	0	11.49	19.77	27.20	32.98	37.06	42.21	47.11
PDN-D3	0	6.01	9.46	12.62	15.78	18.35	23.02	29.05
PDN-D3	0	2.62	4.46	6.49	8.72	10.74	14.64	20.28
PDN-D3	0	2.41	3.66	4.94	6.36	7.76	10.35	16.41
PDN-D3	0	1.63	1.75	3.23	4.53	5.78	7.91	12.83
PDN-SS	0	1.55	2.36	3.03	3.76	4.24	5.18	6.16
PDN-SS	0	1.13	1.66	2.36	2.98	3.53	4.22	5.65
PDN-SS	0	0.92	1.25	1.70	2.19	2.58	3.00	3.56
PDN-SS	0	5.18	7.09	8.72	10.10	11.11	12.73	14.74
