ID	B-glucosidase	Acid phosphatase
MN-SN	182.095872	685.6122
MN-SN	184.768512	684.4864
MN-SN	198.844416	736.2732
MN-D1	20.222976	288.31738
MN-D1	20.401152	221.55744
MN-D1	23.875584	247.676
MN-D3	16.214016	192.73696
MN-D3	13.006848	126.20218
MN-D3	14.432256	155.81072
MN-SS	30.468096	102.4478
MN-SS	27.884544	140.27468
MN-SS	20.668416	132.61924
PC-SN	60.1344	325.3562
PC-SN	62.094336	253.305
PC-SN	66.103296	302.8402
PC-D1	36.258816	104.02392
PC-D1	35.18976	86.79918
PC-D1	36.52608	69.34928
PC-D3	44.544	89.5011
PC-D3	41.069568	84.9979
PC-D3	28.775424	74.41538
PC-SS	39.733248	46.1578
PC-SS	28.329984	38.38978
PC-SS	31.804416	46.94586
PCN-SN	63.074304	368.58692
PCN-SN	69.0432	298.78732
PCN-SN	61.91616	344.94512
PCN-D1	51.314688	100.64652
PCN-D1	58.085376	140.1621
PCN-D1	57.818112	133.9702
PCN-D3	67.172352	126.31476
PCN-D3	73.230336	115.3945
PCN-D3	68.954112	104.92456
PCN-SS	60.936192	103.12328
PCN-SS	66.192384	118.7719
PCN-SS	75.992064	107.62648
PD-SN	150.291456	909.30866
PD-SN	158.487552	681.89706
PD-SN	173.899776	803.48346
PD-D1	15.5904	156.26104
PD-D1	17.283072	117.53352
PD-D1	17.995776	143.5395
PD-D3	30.913536	142.07596
PD-D3	27.884544	112.91774
PD-D3	26.7264	123.50026
PD-SS	20.93568	67.548
PD-SS	23.251968	85.33564
PD-SS	18.70848	141.17532
PDN-SN	150.55872	879.36238
PDN-SN	152.964096	676.71838
PDN-SN	174.790656	696.98278
PDN-D1	16.659456	147.25464
PDN-D1	15.234048	115.05676
PDN-D1	15.857664	128.00346
PDN-D3	32.51712	163.8039
PDN-D3	35.011584	123.838
PDN-D3	31.715328	130.14248
PDN-SS	45.078528	104.47424
PDN-SS	25.122816	118.43416
PDN-SS	38.486016	117.30836
