ASV	MN_1	MN_2	MN_3	MN_D1_1	MN_D1_2	MN_D1_3	MN_D3_1	MN_D3_2	MN_D3_3	PC_1	PC_2	PC_3	PC_D1_1	PC_D1_2	PC_D1_3	PC_D3_1	PC_D3_2	PC_D3_3	PCN_1	PCN_2	PCN_3	PCN_D1_1	PCN_D1_2	PCN_D1_3	PCN_D3_1	PCN_D3_2	PCN_D3_3	PD_1	PD_2	PD_3	PD_D1_1	PD_D1_2	PD_D1_3	PD_D3_1	PD_D3_2	PD_D3_3	PDN_1	PDN_2	PDN_3	PDN_D1_1	PDN_D1_2	PDN_D1_3	PDN_D3_1	PDN_D3_2	PDN_D3_3
ASV_0001	48	11	17	412	346	331	757	494	397	180	126	81	160	107	129	840	1181	1208	75	102	85	125	160	196	1176	1599	760	33	41	26	160	247	223	208	188	432	39	62	37	214	164	201	323	146	403
ASV_0002	42	40	58	0	22	15	0	0	0	396	430	298	564	748	818	79	63	63	548	519	737	735	635	725	0	27	84	359	343	404	97	194	151	38	35	44	287	298	339	130	105	169	16	17	33
ASV_0003	0	0	0	0	0	0	0	0	0	0	0	0	46	11	0	0	1182	1335	0	0	0	0	18	20	1001	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
ASV_0004	0	0	0	0	0	0	0	0	0	0	34	0	266	151	138	418	166	193	0	0	0	115	107	119	112	389	48	0	0	0	37	89	84	61	40	89	0	0	28	73	79	99	91	100	127
ASV_0005	0	0	0	0	0	0	0	0	0	45	25	29	119	76	69	462	426	347	0	0	0	76	68	45	0	0	257	0	19	0	21	37	40	142	64	53	32	0	0	83	70	77	92	137	385
ASV_0006	0	0	0	0	0	0	0	0	0	0	0	0	74	14	34	29	53	37	0	0	0	205	141	130	1098	0	818	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	21	14	0
ASV_0007	0	0	0	0	0	0	0	0	0	0	0	0	99	52	112	0	281	257	0	0	0	81	97	66	387	851	0	0	0	0	78	98	75	97	81	85	0	0	0	29	37	44	0	9	0
ASV_0008	0	0	0	0	0	0	0	0	0	0	0	0	188	292	234	136	40	30	0	0	0	180	188	196	104	0	64	0	0	0	64	101	74	90	96	123	0	0	0	66	80	105	130	145	172
ASV_0009	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	450	984	823	0	0	0	0	0	0	7	6	15	15	96	44	0	0	0	4	0	19	26	0	0
ASV_0010	0	0	0	125	139	126	63	136	123	0	0	0	75	46	59	34	0	0	0	0	0	146	86	120	7	0	0	0	10	12	93	212	222	166	58	38	0	0	0	97	117	62	271	26	104
ASV_0011	0	0	0	0	0	0	0	0	0	0	0	0	131	0	46	362	0	0	0	0	0	136	158	224	0	0	708	10	0	23	24	43	48	148	39	47	0	0	21	36	33	33	39	30	25
ASV_0012	0	0	0	0	0	0	0	0	0	0	0	0	65	80	80	228	121	115	41	0	0	26	41	21	268	266	311	0	0	0	42	74	86	32	32	119	0	0	0	34	43	38	55	0	76
ASV_0013	0	0	0	0	0	0	0	0	0	140	92	68	253	188	211	68	152	95	115	67	79	77	106	105	10	34	26	111	83	129	30	56	44	0	11	34	117	105	126	18	17	34	15	0	0
ASV_0014	0	0	0	18	11	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	319	137	65	479	70	0	0	0	341	232	167	18	61	58
ASV_0015	0	0	0	182	127	179	126	408	646	133	41	57	9	24	43	18	23	28	26	30	51	26	16	25	13	20	12	0	11	0	13	8	11	0	13	0	0	0	13	20	0	17	0	0	11
ASV_0016	56	75	63	40	37	46	25	28	30	134	78	141	44	69	65	105	38	28	103	153	104	49	55	40	19	43	22	104	136	83	31	31	53	52	27	68	95	124	85	21	27	21	32	34	0
ASV_0017	0	0	16	46	48	62	58	0	26	0	0	0	23	20	33	137	0	0	0	0	0	0	32	0	0	0	0	0	0	0	135	114	114	45	42	138	0	0	0	167	169	162	84	123	149
ASV_0018	0	0	0	64	42	105	0	660	491	149	42	72	12	19	28	11	17	19	38	30	35	8	14	18	6	16	8	0	0	0	0	0	7	0	13	0	0	0	0	0	11	10	6	8	0
ASV_0019	0	0	0	0	0	0	0	0	0	0	0	0	91	29	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	56	33	84	25	63	13	0	0	43	86	75	489	376	263
ASV_0020	74	94	142	294	221	163	120	144	200	74	0	32	0	13	0	0	5	15	0	0	0	0	0	4	0	0	0	9	16	11	25	30	50	35	37	18	9	14	15	31	33	26	27	14	14
ASV_0021	0	0	0	0	0	0	0	0	0	0	0	0	72	14	53	0	0	0	0	0	0	307	449	386	0	14	210	0	0	0	0	0	0	58	30	41	0	0	0	0	0	0	28	0	0
ASV_0022	0	0	0	0	0	0	0	0	0	0	0	0	34	13	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	112	135	151	112	119	176	0	0	0	93	107	127	204	135	146
ASV_0023	54	57	53	249	356	396	85	106	62	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	26	18	14	26	40	29	20	18	28	21	9	0	15	14	31	62	56	0
ASV_0024	0	0	0	15	0	0	0	0	4	0	0	0	16	50	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	131	146	99	115	60	96	0	0	0	142	109	177	95	138	86
ASV_0025	0	0	0	0	0	0	0	0	0	0	0	0	35	53	75	24	340	350	0	0	0	72	42	48	144	0	0	0	0	0	19	48	57	0	24	0	0	0	0	0	24	0	0	0	0
ASV_0026	0	0	0	0	0	0	0	0	6	21	23	0	0	23	10	3	0	0	23	44	21	0	0	0	0	0	0	13	17	15	293	154	257	16	67	17	19	18	30	111	102	119	26	21	34
ASV_0027	0	0	20	43	62	44	35	74	34	0	0	0	18	57	53	67	53	70	0	0	0	36	54	59	0	0	23	0	0	29	42	46	34	14	27	18	0	0	0	49	68	54	24	36	51
ASV_0028	210	209	159	0	0	0	0	0	0	81	101	100	0	0	0	0	0	0	109	153	173	0	0	0	0	0	0	96	106	111	0	0	0	0	0	0	126	111	115	0	0	0	0	0	0
ASV_0029	0	0	4	22	6	6	17	14	29	0	7	0	245	70	149	0	0	0	6	0	0	79	65	51	0	0	0	0	8	0	11	12	13	104	54	104	0	0	0	16	21	10	7	18	0
ASV_0030	0	22	17	0	0	0	0	0	0	0	0	0	0	34	50	0	0	0	0	0	0	5	9	19	0	0	0	53	59	62	54	54	59	87	60	104	60	79	61	64	56	70	100	85	42
ASV_0031	17	20	39	61	51	79	40	97	81	17	0	0	0	13	28	7	0	0	4	0	0	0	0	0	0	0	0	21	16	18	68	64	66	57	32	42	16	18	25	55	56	79	47	42	37
ASV_0032	0	0	0	0	0	0	0	0	0	0	0	0	148	146	130	52	0	0	0	0	0	217	222	199	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0033	0	0	0	0	0	1	0	0	0	0	11	25	30	36	14	42	43	35	10	13	13	26	0	28	37	173	48	15	24	17	30	21	20	80	26	28	0	24	22	21	21	35	24	39	39
ASV_0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	30	65	345	314	338
ASV_0035	0	16	54	119	126	80	153	173	219	78	15	32	6	0	19	3	12	0	11	10	10	0	0	9	8	11	0	0	0	7	23	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_0036	0	0	0	181	154	138	27	173	159	95	0	0	0	59	0	0	0	0	15	25	0	0	0	0	0	7	0	0	0	0	22	0	0	0	0	115	0	0	0	0	0	0	0	0	0
ASV_0037	30	0	25	47	10	24	349	51	144	36	0	0	10	45	24	0	0	14	0	0	19	107	0	7	0	6	0	0	0	0	7	3	28	18	41	25	0	0	0	11	2	6	8	19	23
ASV_0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	19	28	128	155	54	6	109	13	14	16	14	188	126	153	16	56	20
ASV_0039	0	0	0	0	0	0	0	0	0	0	0	0	150	41	57	0	0	0	51	0	25	255	207	189	0	0	45	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ASV_0040	0	0	0	0	0	0	0	0	0	0	0	0	8	37	29	0	0	0	0	0	0	12	8	15	0	0	0	0	0	0	52	86	44	146	160	72	0	0	0	75	70	47	90	6	153
ASV_0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	103	47	126	420	84	0	0	0	58	66	47	8	0	0
ASV_0042	0	24	31	34	20	46	23	0	16	28	20	21	31	43	31	41	36	30	16	0	0	50	19	25	20	42	18	20	31	19	46	0	26	51	46	56	0	0	24	0	31	55	0	0	27
ASV_0043	0	0	0	221	139	146	414	49	127	18	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_0044	0	0	0	187	143	192	241	104	166	45	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0045	0	0	0	0	0	0	0	0	0	0	0	0	62	54	53	8	32	20	46	40	46	175	144	166	14	44	13	26	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV_0046	0	6	0	19	0	12	43	14	27	0	0	0	10	27	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	47	45	50	30	93	0	0	0	63	35	60	67	112	117
ASV_0047	0	0	0	172	233	178	47	73	121	0	0	7	4	9	3	2	0	0	0	0	9	5	0	7	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0048	4	3	0	0	22	24	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	100	126	34	44	20	0	23	0	69	57	61	0	23	53
ASV_0049	0	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	54	43	50	71	62	0	0	0	81	43	80	62	44	128
ASV_0050	0	0	0	0	0	0	0	0	0	97	117	77	0	0	0	0	0	0	95	105	101	0	0	0	0	0	0	102	88	63	0	4	0	0	0	0	115	76	110	0	0	0	0	0	0
ASV_0051	0	0	0	142	191	209	59	71	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	7	25	0	0	0	0	0	0	0	13	23	21	0	21	0
ASV_0052	0	0	0	0	0	0	0	0	0	0	0	0	0	23	18	42	0	0	0	0	0	25	0	16	0	0	0	7	0	6	36	36	65	51	55	73	0	0	0	52	62	54	37	54	63
ASV_0053	0	0	6	11	17	14	2	6	4	18	38	37	6	16	8	23	29	31	39	32	32	8	5	17	12	9	15	29	33	31	23	29	24	9	15	8	54	52	39	16	15	15	18	10	13
ASV_0054	0	0	18	92	82	73	111	142	214	41	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0055	0	0	0	0	0	0	0	0	0	0	0	0	0	28	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	42	35	17	73	21	0	0	33	91	50	48	31	109	62
