ASV	MN_1	MN_2	MN_3	MN_D1_1	MN_D1_2	MN_D1_3	MN_D3_1	MN_D3_2	MN_D3_3	PC_1	PC_2	PC_3	PC_D1_1	PC_D1_2	PC_D1_3	PC_D3_1	PC_D3_2	PC_D3_3	PCN_1	PCN_2	PCN_3	PCN_D1_1	PCN_D1_2	PCN_D1_3	PCN_D3_1	PCN_D3_2	PCN_D3_3	PD_1	PD_2	PD_3	PD_D1_1	PD_D1_2	PD_D1_3	PD_D3_1	PD_D3_2	PD_D3_3	PDN_1	PDN_2	PDN_3	PDN_D1_1	PDN_D1_2	PDN_D1_3	PDN_D3_1	PDN_D3_2	PDN_D3_3
ASV_0001	0	0	0	0	0	0	0	0	0	97	170	354	262	19	55	63	134	137	430	358	418	524	302	257	0	15	0	334	388	271	1718	184	1400	1556	1184	2496	228	156	257	641	1897	1489	2173	940	808
ASV_0002	0	0	0	0	0	0	0	0	0	158	149	212	0	0	28	0	0	0	224	178	127	49	99	95	0	0	221	256	346	208	74	0	27	0	0	0	505	308	388	63	44	40	52	587	256
ASV_0003	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	18	0	0	15	0	16	0	0	0	0	0	15	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0004	60	0	0	156	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0005	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0006	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	13	5	11	0	0	0	0	0	0	49	27	37	0	0	0	0	0	0	48	17	35	0	0	0	0	0	0
ASV_0007	0	0	0	0	0	0	0	0	0	7	29	71	0	0	0	0	0	0	46	34	41	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0008	60	126	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0009	0	0	0	0	0	0	0	0	0	18	22	0	0	0	0	0	0	0	27	46	44	0	0	0	0	0	0	18	15	19	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0
ASV_0010	0	0	0	0	0	0	0	0	0	37	0	33	0	0	0	0	0	0	0	20	36	0	0	0	0	0	0	19	0	15	0	0	0	0	0	0	54	0	17	0	0	0	0	0	0
ASV_0012	0	17	0	10	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	44	0	0	0	0	0	9	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0013	92	87	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0015	0	0	0	0	0	0	0	0	0	0	33	5	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	26	71	0	0	0	0	0	0	0	16	21	16	0	0	0	0	0	0
ASV_0017	8	0	8	0	27	68	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0018	0	0	0	19	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	26	0	8	0	0	4
ASV_0019	0	0	0	0	0	0	0	0	0	13	20	14	0	0	0	0	0	0	39	20	50	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	14	15	17	0	0	0	0	0	0
ASV_0020	20	39	7	7	14	22	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0021	10	31	17	271	456	178	436	718	340	0	0	0	14	20	32	0	24	43	0	0	0	0	0	0	0	0	0	0	0	9	71	42	144	0	19	59	0	0	0	166	189	118	280	220	89
ASV_0022	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	50	53	32	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_0023	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0025	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ASV_0026	0	0	0	0	0	0	0	0	0	20	27	19	0	0	0	0	0	0	27	30	18	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	11	8	22	0	0	0	0	0	0
ASV_0027	0	9	0	0	22	8	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0028	0	0	0	0	0	0	0	0	0	7	0	26	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0029	0	0	0	0	0	0	0	0	0	0	0	28	0	0	13	18	41	35	0	0	0	9	14	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0030	68	58	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0032	57	67	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0034	0	0	7	137	86	563	237	2534	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0035	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0036	0	0	0	0	0	0	0	0	0	2	25	26	0	0	0	0	0	0	34	37	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	51	28	59	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV_0039	11	52	11	11	5	0	71	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0040	0	4	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0041	47	76	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0042	0	19	13	94	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0043	40	64	19	6	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV_0044	11	10	6	0	0	0	0	0	0	3	30	18	0	0	0	0	0	0	9	31	27	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
ASV_0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	17	26	0	0	0	0	0	0	34	11	18	0	0	0	0	0	0
ASV_0047	0	0	0	0	36	36	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0048	0	0	0	0	0	0	0	0	0	21	17	8	0	0	0	0	0	0	18	19	16	0	0	0	0	0	0	5	13	2	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0
ASV_0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0050	0	3	0	89	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0051	29	93	0	1679	115	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0052	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0053	42	53	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0054	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0
