ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_0001	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Condenascus	tortuosus
ASV_0002	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	intricans
ASV_0003	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Staphylotrichum	coccosporum
ASV_0004	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	olivacea
ASV_0005	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	dendrobii
ASV_0006	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0007	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0008	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	mirabilis
ASV_0009	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	NA
ASV_0010	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Hoehnelomycetaceae	Atractiella	rhizophila
ASV_0012	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	angustispirale
ASV_0013	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0015	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	pseudophaseolina
ASV_0017	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	chlamydosporia
ASV_0018	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	chlamydosporia
ASV_0019	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_0020	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	aseptatum
ASV_0021	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	NA
ASV_0022	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Parabambusicolaceae	NA	NA
ASV_0023	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	NA
ASV_0024	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	trachelii
ASV_0025	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	phragmitis
ASV_0026	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	NA
ASV_0027	Fungi	NA	NA	NA	NA	NA	NA
ASV_0028	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	NA
ASV_0029	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	furcatum
ASV_0030	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	tardifaciens
ASV_0032	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_0034	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	acerina
ASV_0035	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
ASV_0036	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV_0037	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0039	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV_0040	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycenella	NA
ASV_0041	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	NA
ASV_0042	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylaria	acaciae
ASV_0043	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_0044	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_0046	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_0047	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	rifaii
ASV_0048	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Dictyochaeta	siamensis
ASV_0049	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	podzolica
ASV_0050	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_0051	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	repens
ASV_0052	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0053	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0054	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	NA	NA
ASV_0055	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	angustiovoidea
ASV_0056	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	rosea
ASV_0057	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	parasiticus
ASV_0058	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV_0059	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arxotrichum	wyomingense
ASV_0060	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	flocculosus
ASV_0061	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	rishikesha
ASV_0063	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	dierckxii
ASV_0064	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	polyspora
ASV_0065	Fungi	NA	NA	NA	NA	NA	NA
ASV_0067	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11	NA	NA	NA
ASV_0068	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	furcatum
ASV_0069	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Condenascus	tortuosus
ASV_0070	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV_0071	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	NA
ASV_0073	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	dendrobii
ASV_0074	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	suttonii
ASV_0075	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	arrhizus
ASV_0076	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_0077	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	NA
ASV_0078	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV_0079	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV_0080	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	marquandii
ASV_0081	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	oryzae
ASV_0084	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	camargensis
ASV_0086	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	NA
ASV_0089	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	persicinum
ASV_0090	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0092	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0094	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	chienii
ASV_0095	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	miczynskii
ASV_0096	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_0097	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	aculeatus
ASV_0098	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	podzolica
ASV_0100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Polyschema	sclerotigenum
ASV_0101	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_0102	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	albobiverticillius
ASV_0104	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	ligusticum
ASV_0105	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV_0107	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctis	rosea
ASV_0108	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Sonoraphlyctidaceae	Sonoraphlyctis	ranzonii
ASV_0109	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Phialemoniopsis	ocularis
ASV_0110	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0112	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	acutatum
ASV_0113	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0114	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV_0116	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	rubrobrunneus
ASV_0117	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	violacea
ASV_0119	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0120	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	NA
ASV_0121	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV_0122	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	NA
ASV_0123	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	cancerae
ASV_0124	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_0125	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	carneum
ASV_0126	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	sinensis
ASV_0127	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	circinatum
ASV_0128	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	miczynskii
ASV_0129	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	bilaiae
ASV_0130	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_0131	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
ASV_0132	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	NA
ASV_0134	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	acetilerea
ASV_0136	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Hansfordia	NA
ASV_0139	Fungi	Ascomycota	NA	NA	NA	NA	NA
